[EventDispatcher] Mascot State: isGrounded=false, y=701, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=703, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=705, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=707, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=709, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=711, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=713, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=715, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=717, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=719, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=721, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[Debug] Transition: Prev=com.group_finity.mascot.action.SequenceAction@4166a5c7 -> Next (Evaluating)
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Condition Matched: WindowWallAction (Event: SYSTEM_TICK)
[EventDispatcher] Selected Behavior: WindowWallAction
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
[EventDispatcher] Mascot State: isGrounded=false, y=723, Floor=None
